relation,description
P582,time an item ceases to exist or a statement stops being valid  left office until divorced enddate closed fall date cease date cease time endtime ends cease operation till completed in dissolved stop time to ending end date
P585,"time and date something took place, existed or a statement was true  date as of time of event at time when year time during event date on by date pointtime"
P463,"organization, club or musical group to which the subject belongs. Do not use for membership in ethnic or social groups, nor for holding a political position, such as a member of parliament (use P39 for that).  membership band member of be member of member of musical group in musical group"
P676,author of song lyrics  lyricist words by writer (of song lyrics) author
P674,"characters which appear in this item (like plays, operas, operettas, books, comics, films, TV series, video games)  "
P264,brand and trademark associated with the marketing of subject music recordings and music videos  label
P108,person or organization for which the subject works or worked  employed by works at working for worked for works for worked at working place working at organization organisation
P102,the political party of which this politician is or has been a member or otherwise affiliated  party member of member of party party membership political party member political party
P25,"female parent of the subject. For stepmother, use ""stepparent"" (P3448)  mum mom mam has mother parent is son of is daughter of is child of son of daughter of child of mummy"
P27,the object is a country that recognizes the subject as its citizen  subject of (country) citizenship citizen of national of (legal) nationality
P26,"the subject has the object as their spouse (husband, wife, partner, etc.). Use ""unmarried partner"" (P451) for non-married companions  wife married to marry marriage partner married wedded to wed wives husbands spouses husband martial partner"
P20,"most specific known (e.g. city instead of country, or hospital instead of city) death location of a person, animal or fictional character  deathplace died in death place POD location of death death location killed in"
P22,"male parent of the subject. For stepfather, use ""stepparent"" (P3448)  dad daddy has father parent is son of is daughter of is child of son of daughter of child of"
P807,subject was founded or started by separating from identified object  forked from schism from seceded from split from broke from branched from
P800,"notable scientific, artistic or literary work, or other work of significance among subject's works  literary works bibliography work works major works famous works significant works known for notable books famous books famous for significance representative work artwork creator of representative of artwork type they wrote they designed they discovered they invented they created"
P279,next higher class or type; all instances of these items are instances of those items; this item is a class (subset) of that item. Not to be confused with P31 (instance of)  rdfs:subClassOf hyponym of has superclass is also a subtype of is a subtype of subcategory of is a category of is thereby also a is necessarily also a whose instances are among whose instances ⊆ those of ⊆ ⊂ is a type of is a class of subset of type of form of sc
P1336,administrative divisions that claim control of a given area  claimed by sovereignty claimed by territorial claim by
P577,date or point in time when a work was first published or released  first released first published air date pubdate date of first publication first publication airdate release date date published date released published dop year of publication initial release date of release date of publication released time of publication publication publication time launched launch date released in was published in be published in be published during was published during broadcast date
P570,date on which the subject died  date of the end death date died on DOD year of death dead deathdate death
P571,date or point in time when the subject came into existence as defined  date founded date created incorporated foundation created date of foundation date of creation established establishment date foundation date creation date incorporation date date incorporated date of incorporation date of establishment founding date date of founding date formed formation date formed on date founded on date incorporated on date established on date created on date commencement date date commenced commenced on date date of commencement time of foundation or creation date of foundation or creation written on date time of inception year founded year created year incorporated year written year commenced year established date constructed construction date constructed inititated formation dedication date formed in formed at inaugurated launch date introduced introduction completed first issue built foundation / creation date founded launched
P178,organisation or person that developed the item  developed by written by created by
P179,series which contains the subject  part of series series listed in collection issue of
P272,"company that produced this film, audio or performing arts work  film studio studio motion picture studio movie studio production house theatre company theater company theatrical troupe ballet company broadcasting company produced by (company) producer (company)"
P170,maker of this creative work or other object (where no more specific property exists)  artist (non-musical) created by painter sculptor creators painters sculptors made by created
P171,closest parent taxon of the taxon in question  taxon parent higher taxon
P172,"subject's ethnicity (consensus is that a VERY high standard of proof is needed for this field to be used. In general this means 1) the subject claims it themself, or 2) it is widely agreed on by scholars, or 3) is fictional and portrayed as such)  ethnicity culture people (cultural) nationality race"
P175,"actor, musician, band or other performer associated with this role or musical work  artist musician played by portrayed by recorded by recording by dancer actor musical artist performed by actress sung by singer"
P176,manufacturer or producer of this product  manufactured by maker mfr built by builder made by producer (of product) product of provider provided by assembler assembled by
P39,subject currently or formerly holds the object position or public office  political office held political seat public office office held position occupied holds position function held position
P30,continent of which the subject is a part  
P31,that class of which this subject is a particular example and member  is a is an has class has type is a particular is a specific is an individual is a unique is an example of member of unique individual of distinct member of unitary element of class distinct element of distinct individual member of rdf:type type main type is a(n) type of is a type of
P36,"seat of government of a country, province, state or other type of administrative territorial entity  capital city capital town chef-lieu principal place county seat administrative centre administrative headquarters has capital court residence seat administrative seat seat of government administrative capital government capital county town"
P37,language designated as official by this item  language official spoken in speaking language spoken
